肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,犯罪/剧情,美国,1994,9.7,2868296人评价,https://movie.douban.com/subject/1292052/
霸王别姬,陈凯歌 Kaige Chen,剧情/爱情/同性,中国大陆/中国香港,1993,9.6,2119589人评价,https://movie.douban.com/subject/1291546/
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,剧情/爱情,美国,1994,9.5,2141007人评价,https://movie.douban.com/subject/1292720/
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,剧情/爱情/灾难,美国/墨西哥,1997,9.5,2166605人评价,https://movie.douban.com/subject/1292722/
这个杀手不太冷,吕克·贝松 Luc Besson,剧情/动作/犯罪,法国/美国,1994,9.4,2277261人评价,https://movie.douban.com/subject/1295644/
千与千寻,宫崎骏 Hayao Miyazaki,剧情/动画/奇幻,日本,2001,9.4,2222007人评价,https://movie.douban.com/subject/1291561/
美丽人生,罗伯托·贝尼尼 Roberto Benigni,剧情/喜剧/爱情/战争,意大利,1997,9.6,1314958人评价,https://movie.douban.com/subject/1292063/
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,剧情/历史/战争,美国,1993,9.6,1095722人评价,https://movie.douban.com/subject/1295124/
星际穿越,克里斯托弗·诺兰 Christopher Nolan,剧情/科幻/冒险,美国/英国/加拿大,2014,9.4,1811305人评价,https://movie.douban.com/subject/1889243/
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,剧情/科幻/悬疑/冒险,美国/英国,2010,9.4,2041178人评价,https://movie.douban.com/subject/3541415/
楚门的世界,彼得·威尔 Peter Weir,剧情/科幻,美国,1998,9.4,1684853人评价,https://movie.douban.com/subject/1292064/
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,剧情,美国/英国,2009,9.4,1388517人评价,https://movie.douban.com/subject/3011091/
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,剧情/音乐,意大利,1998,9.3,1663453人评价,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,剧情/喜剧/爱情/歌舞,印度,2009,9.2,1843116人评价,https://movie.douban.com/subject/3793023/
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,剧情/音乐,法国/瑞士/德国,2004,9.3,1298869人评价,https://movie.douban.com/subject/1291549/
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,科幻/动画/冒险,美国,2008,9.3,1304308人评价,https://movie.douban.com/subject/2131459/
无间道,刘伟强 / 麦兆辉,剧情/犯罪/惊悚,中国香港,2002,9.3,1348552人评价,https://movie.douban.com/subject/1307914/
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,喜剧/动画/冒险,美国,2016,9.2,1910514人评价,https://movie.douban.com/subject/25662329/
控方证人,比利·怀尔德 Billy Wilder,剧情/犯罪/悬疑,美国,1957,9.6,545920人评价,https://movie.douban.com/subject/1296141/
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,喜剧/爱情/奇幻/古装,中国香港/中国大陆,1995,9.2,1519781人评价,https://movie.douban.com/subject/1292213/
熔炉,黄东赫 Dong-hyuk Hwang,剧情,韩国,2011,9.4,923444人评价,https://movie.douban.com/subject/5912992/
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情/犯罪,美国,1972,9.3,957090人评价,https://movie.douban.com/subject/1291841/
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,剧情/喜剧,法国,2011,9.3,1100736人评价,https://movie.douban.com/subject/6786002/
